Id,AccountNumber,SubNumber,ParentId,Name_en,Name_fr,Name_ar,UpdateDate,Status,TimeStamp
929,465,5,46,Misc. Accc.nts Payables - Non-Operating,Autes créd. divers hors exploitat.,Misc. Accc.nts Payables - Non-Operating,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x8b'
930,468,8,46,Misc. Accounts Receivables - Operating,Débiteurs divers d'exploitation,Misc. Accounts Receivables - Operating,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x8c'
931,469,9,46,Misc. Receivables - Non-Operating,Débiteurs divers hors exploitat.,Misc. Receivables - Non-Operating,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x8d'
932,471,1,47,Deferred Charges,Charges à répartir sur +rs exerc.,Deferred Charges,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x8e'
933,472,2,47,Deferred Income,Charges constatées d'avance,Deferred Income,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x8f'
934,473,3,47,Accrued Income,Produits constatés d'avance,Accrued Income,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x90'
935,474,5,47,Charges to Pay,Charges à payer,Charges to Pay,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x91'
936,502,2,50,Property Rights related to Notes,Titres conférant 1 drt de propriété,Property Rights related to Notes,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x92'
937,505,5,50,Debentures & Bonds,Obligat. et bons émis par société,Debentures & Bonds,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x93'
938,506,6,50,to modify,to modify,to modify,2010-07-13 00:00:00,0,b'\x00\x00\x00\x00\x00\x01!\x94'
939,511,1,51,Cheques & Coupon for Collection,Chèques et coupons à encaisser,Cheques & Coupon for Collection,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x95'
940,512,2,51,Banks,Banques,Banks,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x96'
941,519,9,51,Financial Institutions,Organismes de financment,Financial Institutions,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x97'
942,530,0,53,Cash,Caisse,Cash,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x98'
943,601,1,60,Purchases,Achat de marchandises,Purchases,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x99'
944,605,5,60,Variation of Inventory,Variations de stock marchandises,Variation of Inventory,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x9a'
945,611,1,61,Raw Materials and Consumables purchases,Achat d'approvisionnement,Raw Materials and Consumables purchases,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x9b'
946,615,5,61,Variation of Raw Materials & Consumable,Variations stocks d'approvisionn.,Variation of Raw Materials & Consumable,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x9c'
947,621,1,62,Costs Related to Sub Contracts,Achats de sous-traitance,Costs Related to Sub Contracts,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x9d'
948,625,5,62,Leasing & Patents Cost,Redevances,Leasing & Patents Cost,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x9e'
949,626,6,62,External Services,Services extérieurs,External Services,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x9f'
950,631,1,63,Salaries & Wages,Rénumérations de personnel,Salaries & Wages,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xa0'
951,635,5,63,Social Security,Charges sociales,Social Security,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xa1'
952,641,1,64,Income Tax on Salaries & Remuneration,"Impôts , taxes sur rénumérations",Income Tax on Salaries & Remuneration,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xa2'
953,642,2,64,Municipal Tax,Impôts et taxes municipales,Municipal Tax,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xa3'
954,644,4,64,Registration Fees,Droits d'enregistrement,Registration Fees,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xa4'
955,651,1,65,Depreciation & Amortization,Dotations aux amortissements,Depreciation & Amortization,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xa5'
956,655,5,65,Provisions,Dotations aux provisions,Provisions,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xa6'
957,673,3,67,Interest,Intérêts et autres charges assimil.,Interest,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xa7'
958,675,5,67,Negative Exchange Differences,Différences négatives de change,Negative Exchange Differences,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xa8'
959,681,1,68,Net Book Value of Fixed Assets Disposed,Valeur comptable immobilière cédée,Net Book Value of Fixed Assets Disposed,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xa9'
960,685,5,68,Other Charges - Non-Operating,Charges hors exploitation,Other Charges - Non-Operating,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xaa'
961,701,1,70,Invoices,Ventes de marchandises,Invoices,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xab'
962,711,1,71,Sales of Production,Vente de produits fabriqués,Sales of Production,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xac'
963,712,2,71,Works,Travaux,Works,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xad'
964,713,3,71,Services,Prestations de services,Services,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xae'
